2024-09-12 10:20:20 [http-nio-8080-exec-1] INFO  d.g.controller.UsuarioController - //// Usuario obtenido con ID 1: UsuarioDTO(id=1, nombre=John Doe modificado, email=johndoe@example.com, password=hashed_password_1, rol=RolDTO(id=2, nombre=Guest, descripcion=Standard guest role)) ////
2024-09-12 19:26:38 [http-nio-8080-exec-1] INFO  d.g.controller.UsuarioController - //// Usuario obtenido con ID 1: UsuarioDTO(id=1, nombre=John Doe modificado, email=johndoe@example.com, password=hashed_password_1, rol=RolDTO(id=2, nombre=Guest, descripcion=Standard guest role)) ////
2024-09-12 19:30:22 [http-nio-8080-exec-1] INFO  d.g.controller.UsuarioController - //// Usuario obtenido con ID 1: UsuarioDTO(id=1, nombre=John Doe modificado, email=johndoe@example.com, password=hashed_password_1, rol=RolDTO(id=2, nombre=Guest, descripcion=Standard guest role)) ////
2024-09-12 20:13:36 [http-nio-8080-exec-1] INFO  d.g.controller.UsuarioController - //// Usuario obtenido con ID 1: UsuarioDTO(id=1, nombre=John Doe modificado, email=johndoe@example.com, password=hashed_password_1, rol=RolDTO(id=2, nombre=Guest, descripcion=Standard guest role)) ////
2024-09-12 20:16:19 [http-nio-8080-exec-1] INFO  d.g.controller.UsuarioController - //// Usuario obtenido con ID 1: UsuarioDTO(id=1, nombre=John Doe modificado, email=johndoe@example.com, password=hashed_password_1, rol=RolDTO(id=2, nombre=Guest, descripcion=Standard guest role)) ////
2024-09-12 20:16:33 [http-nio-8080-exec-2] INFO  d.g.controller.UsuarioController - //// Usuario obtenido con ID 1: UsuarioDTO(id=1, nombre=John Doe modificado, email=johndoe@example.com, password=hashed_password_1, rol=RolDTO(id=2, nombre=Guest, descripcion=Standard guest role)) ////
2024-09-12 20:17:12 [http-nio-8080-exec-3] INFO  d.g.controller.UsuarioController - //// Usuario obtenido con ID 1: UsuarioDTO(id=1, nombre=John Doe modificado, email=johndoe@example.com, password=hashed_password_1, rol=RolDTO(id=2, nombre=Guest, descripcion=Standard guest role)) ////
2024-09-12 20:17:21 [http-nio-8080-exec-4] INFO  d.g.controller.UsuarioController - //// Usuario obtenido con ID 1: UsuarioDTO(id=1, nombre=John Doe modificado, email=johndoe@example.com, password=hashed_password_1, rol=RolDTO(id=2, nombre=Guest, descripcion=Standard guest role)) ////
2024-09-12 20:18:24 [http-nio-8080-exec-1] INFO  d.g.controller.UsuarioController - //// Usuario obtenido con ID 1: UsuarioDTO(id=1, nombre=John Doe modificado, email=johndoe@example.com, password=hashed_password_1, rol=RolDTO(id=2, nombre=Guest, descripcion=Standard guest role)) ////
2024-09-12 20:18:29 [http-nio-8080-exec-2] INFO  d.g.controller.UsuarioController - //// Usuario obtenido con ID 1: UsuarioDTO(id=1, nombre=John Doe modificado, email=johndoe@example.com, password=hashed_password_1, rol=RolDTO(id=2, nombre=Guest, descripcion=Standard guest role)) ////
2024-09-12 20:18:33 [http-nio-8080-exec-3] INFO  d.g.controller.UsuarioController - //// Usuario obtenido con ID 1: UsuarioDTO(id=1, nombre=John Doe modificado, email=johndoe@example.com, password=hashed_password_1, rol=RolDTO(id=2, nombre=Guest, descripcion=Standard guest role)) ////
